Date,Price,Open,High,Low,Vol.,Change %
8/3/21,41.245,41.59,42.18,41.12,0.93K,-2.16%
8/2/21,42.155,42.1,42.69,41.815,1.36K,3.44%
7/30/21,40.755,40.51,40.855,39.42,0.39K,-0.97%
7/29/21,41.154,40.35,40.88,40.05,0.72K,3.66%
7/28/21,39.7,38.465,39.715,38.415,0.51K,5.61%
7/27/21,37.59,37.695,37.705,37.26,0.56K,1.83%
7/26/21,36.915,36.14,37.025,35.91,0.17K,3.91%
7/23/21,35.525,35.815,35.94,35.1,0.53K,-1.67%
7/22/21,36.13,35.675,36.435,35.65,0.59K,0.50%
7/21/21,35.95,35.5,36.2,35.46,0.37K,2.23%
7/20/21,35.165,35.095,35.315,34.625,0.52K,-1.36%
7/19/21,35.65,36.45,36.81,35.615,0.42K,2.32%
7/16/21,34.84,35.1,35.525,34.6,0.46K,3.09%
7/15/21,33.795,34.2,34.605,33.61,0.46K,-2.82%
7/14/21,34.775,34.835,35.175,33.405,0.62K,-1.95%
7/13/21,35.465,34.305,35.835,34.145,0.94K,2.35%
7/12/21,34.65,35.235,36.15,34.395,1.14K,-5.41%
7/9/21,36.632,35.84,36.85,35.565,0.66K,9.97%
7/8/21,33.31,32.29,33.875,31.47,1.19K,3.00%
7/7/21,32.34,34.315,36.23,32.345,1.15K,-5.18%
7/6/21,34.105,37.25,38.365,33.08,1.43K,-4.81%
7/2/21,35.827,34.925,36.87,34.925,1.21K,-0.88%
7/1/21,36.145,35.5,36.955,35.45,0.63K,4.40%
6/30/21,34.62,33.875,34.925,33.74,1.46K,3.39%
6/29/21,33.486,32.855,33.825,32.855,0.30K,3.70%
6/28/21,32.29,32.1,32.38,31.75,0.79K,-0.29%
6/25/21,32.385,31.95,32.4,31.95,0.55K,1.16%
6/24/21,32.015,31.55,32.025,31.41,0.95K,1.49%
6/23/21,31.545,31.35,31.685,30.565,0.55K,2.64%
6/22/21,30.735,30.05,30.835,29.99,0.59K,3.78%
6/21/21,29.615,29.97,30.2,29.305,0.70K,0.71%
6/18/21,29.405,28.935,29.61,28.8,0.60K,3.87%
6/17/21,28.31,27.8,28.67,27.7,1.08K,1.00%
6/16/21,28.03,28,28.775,27.74,1.30K,-0.37%
6/15/21,28.135,28.3,28.705,27.91,1.01K,-2.34%
6/14/21,28.81,29.1,29.315,28.575,0.86K,3.47%
6/11/21,27.845,28.5,28.595,27.7,0.46K,-2.93%
6/10/21,28.685,28.275,28.725,27.705,0.68K,1.36%
6/9/21,28.3,27.9,28.425,27.805,0.69K,1.80%
6/8/21,27.8,27.475,27.85,27.35,0.64K,4.95%
6/7/21,26.49,25.9,26.665,25.9,0.36K,2.69%
6/4/21,25.795,25.75,26.025,25.45,0.41K,0.35%
6/3/21,25.705,26.25,26.25,25.675,0.47K,-0.08%
6/2/21,25.725,25.7,26.1,25.28,1.03K,-0.96%
6/1/21,25.975,25.18,26.23,25.18,0.77K,4.19%
5/28/21,24.93,25.1,25.2,24.62,0.40K,-1.07%
5/27/21,25.2,25.645,26.1,25.275,0.56K,-4.64%
5/26/21,26.425,26.775,26.915,26.4,0.71K,0.90%
5/25/21,26.19,25.25,26.15,25.25,0.86K,5.78%
5/24/21,24.76,24.475,24.85,24.455,0.40K,-0.14%
5/21/21,24.795,25.3,25.55,24.6,0.98K,0.45%
5/20/21,24.685,23.1,24.565,23.05,0.94K,8.91%
5/19/21,22.665,24.05,24.125,22.57,1.00K,-8.65%
5/18/21,24.81,25.4,25.775,24.645,1.31K,-5.70%
5/17/21,26.31,26.1,26.63,25.7,1.23K,-1.94%
5/14/21,26.83,26.35,26.875,26.35,0.67K,2.21%
5/13/21,26.25,25.75,26.3,24.975,1.37K,-0.64%
5/12/21,26.42,26.44,26.45,25.8,1.12K,2.38%
5/11/21,25.805,24.8,25.995,24.75,0.97K,2.44%
5/10/21,25.19,25.175,25.2,24.825,1.09K,5.22%
5/7/21,23.94,24.225,24.225,23.875,0.69K,-1.60%
5/6/21,24.33,24.13,24.95,24.13,1.08K,1.54%
5/5/21,23.96,23.4,23.965,23.325,0.63K,3.95%
5/4/21,23.05,24.105,24.105,22.995,0.72K,-3.21%
5/3/21,23.815,23.815,23.815,23.815,,2.28%
4/30/21,23.285,22.965,23.32,22.73,0.77K,3.49%
4/29/21,22.5,21.665,22.575,21.575,0.47K,4.38%
4/28/21,21.555,21.79,22.02,21.55,0.71K,0.70%
4/27/21,21.405,19.93,21.5,19.75,0.74K,7.03%
4/26/21,20,20.2,20.46,19.975,0.95K,-0.22%
4/23/21,20.045,20.8,20.8,19.71,0.18K,-6.20%
4/22/21,21.37,21.3,21.54,21.3,0.46K,1.23%
4/21/21,21.11,21.015,21.25,20.85,2.02K,0.21%
4/20/21,21.065,20.85,21.335,20.675,1.40K,0.60%
4/19/21,20.94,20.875,21.12,20.85,1.43K,1.95%
4/16/21,20.54,20.625,20.8,20.5,0.43K,1.38%
4/15/21,20.26,19.9,20.385,19.85,0.60K,2.95%
4/14/21,19.68,19.6,19.775,19.6,2.03K,0.87%
4/13/21,19.51,19.72,19.85,19.47,1.16K,-0.71%
4/12/21,19.65,19.395,19.725,19.26,1.48K,3.75%
4/9/21,18.94,19.35,19.365,18.9,1.18K,-0.26%
4/8/21,18.99,19.325,19.45,18.975,0.63K,-1.53%
4/7/21,19.285,19.65,19.725,19.175,0.83K,-2.50%
4/6/21,19.78,19.745,19.825,19.6,0.39K,3.18%
4/5/21,19.17,19.17,19.17,19.17,,0.00%
4/1/21,19.17,19,19.275,19,,0.92%
3/31/21,18.995,19.05,19.17,18.7,0.48K,1.01%
3/30/21,18.805,18.2,18.85,18.2,0.78K,1.95%
3/29/21,18.445,18.26,18.595,18.125,0.82K,-1.36%
3/26/21,18.7,18.6,18.82,18.575,1.21K,1.82%
3/25/21,18.365,18.6,18.6,18.275,1.49K,-1.21%
3/24/21,18.59,18.65,18.825,18.025,1.96K,1.09%
3/23/21,18.39,17.85,18.4,17.625,1.76K,1.91%
3/22/21,18.045,17.27,18.075,17.27,1.81K,4.52%
3/19/21,17.265,17.35,17.5,17.235,1.14K,-2.79%
3/18/21,17.76,18.16,18.4,17.5,0.90K,-1.17%
3/17/21,17.97,17.45,18.11,17.45,0.64K,1.76%
3/16/21,17.66,17.83,17.83,17.275,0.82K,-1.51%
3/15/21,17.93,18.17,18.88,17.87,0.88K,-2.82%
3/12/21,18.45,17.97,18.565,17.93,0.71K,1.79%
3/11/21,18.125,17.475,18.155,17.475,1.18K,2.81%
3/10/21,17.63,17.15,17.7,17.15,0.59K,4.17%
3/9/21,16.925,16.375,16.975,16.375,0.46K,4.80%
3/8/21,16.15,16.55,16.55,16.125,0.75K,-1.31%
3/5/21,16.365,15.85,16.45,15.775,0.58K,2.73%
3/4/21,15.93,15.59,15.975,15.575,0.53K,2.61%
3/3/21,15.525,15.6,15.68,15.5,0.46K,-2.17%
3/2/21,15.87,16.005,16.03,15.8,0.60K,-1.31%
3/1/21,16.08,16,16.1,15.925,0.36K,2.45%
2/26/21,15.695,15.95,15.975,15.55,0.44K,-1.51%
2/25/21,15.935,16.4,16.4,16.065,0.42K,-2.72%
2/24/21,16.38,16.125,16.35,16.05,0.77K,0.80%
2/23/21,16.25,16.1,16.4,16.05,0.42K,1.82%
2/22/21,15.96,16.25,16.25,15.825,0.50K,-3.59%
2/19/21,16.555,17.325,17.45,16.465,0.77K,-4.47%
2/18/21,17.33,16.9,17.35,16.84,1.00K,4.78%
2/17/21,16.54,17.15,17.3,16.4,1.08K,-1.05%
2/16/21,16.715,16.75,16.95,16.35,1.31K,-5.14%
2/12/21,17.62,17.07,17.65,16.95,0.60K,1.41%
2/11/21,17.375,18.15,18.15,17.375,1.63K,-6.38%
2/10/21,18.56,18.85,19.025,18.45,0.51K,-2.55%
2/9/21,19.045,18.855,19.305,18.75,0.58K,-5.62%
2/8/21,20.18,20.375,20.375,19.6,0.48K,9.79%
2/5/21,18.38,18.55,18.9,18.3,1.05K,1.43%
2/4/21,18.12,17.85,18.35,17.75,0.80K,1.48%
2/3/21,17.855,17.65,17.75,17.35,0.43K,-2.16%
2/2/21,18.25,18.2,18.5,18.105,0.35K,0.61%
2/1/21,18.14,19.05,19.05,17.875,0.84K,-8.48%
1/29/21,19.82,20.6,20.6,19.595,0.44K,-5.21%
1/28/21,20.91,20.6,20.875,20.35,0.29K,6.14%
1/27/21,19.7,19,19.9,18.9,0.38K,0.97%
1/26/21,19.51,19.8,20.075,19.175,0.79K,-3.22%
1/25/21,20.16,22.15,22.15,20.05,1.05K,-6.17%
1/22/21,21.485,20.75,21.5,20.75,0.94K,7.08%
1/21/21,20.065,19.825,20.5,19.55,0.43K,-0.96%
1/20/21,20.26,21.4,21.6,19.935,0.68K,-0.32%
1/19/21,20.325,19.1,20.4,18.9,1.05K,0.62%
1/15/21,20.2,20.1,20.4,19.625,0.52K,-5.32%
1/14/21,21.335,21.25,21.25,20.32,0.34K,-0.77%
1/13/21,21.5,23.475,23.9,21.6,0.54K,-17.80%
1/12/21,26.155,23.24,26.085,23.2,0.14K,18.21%
1/11/21,22.125,21.35,22.54,21.2,0.46K,9.97%
1/8/21,20.12,20.4,20.7,19.89,0.39K,4.22%
1/7/21,19.305,18.275,19.42,18.275,0.18K,9.91%
1/6/21,17.565,17.875,18.52,17.375,0.70K,-2.44%
1/5/21,18.005,18.905,18.95,17.925,0.51K,-9.27%
1/4/21,19.845,19.45,20.3,19.45,0.80K,3.76%
12/31/20,19.125,19.125,19.125,19.125,,0.66%
12/30/20,19,19.15,19.275,19.025,0.18K,1.20%
12/29/20,18.775,19,19,19,0.04K,-1.96%
12/28/20,19.15,19.15,19.15,19.15,,8.50%
12/24/20,17.65,17.65,17.65,17.65,,0.83%
12/23/20,17.505,17.65,17.65,17.5,0.08K,-0.74%
12/22/20,17.635,17.2,17.75,17.175,0.21K,5.00%
12/21/20,16.795,16.4,16.85,16.25,0.18K,5.73%
12/18/20,15.885,15.75,15.975,15.69,0.19K,-0.35%
12/17/20,15.94,16.175,16.325,15.9,0.19K,-2.69%
12/16/20,16.38,17.05,17.05,16.26,0.18K,-4.91%
12/15/20,17.225,17.1,17.265,16.66,0.22K,3.73%
12/14/20,16.605,16.45,16.925,16.45,0.16K,4.04%
12/11/20,15.96,15.525,15.825,15.3,0.18K,2.70%
12/10/20,15.54,15.3,15.55,15.275,0.32K,5.46%
12/9/20,14.735,14.35,14.735,14.35,0.13K,2.01%
12/8/20,14.445,14.3,14.63,14.3,0.71K,0.63%
12/7/20,14.355,14.1,14.4,14.1,0.40K,-1.98%
12/4/20,14.645,14.55,14.66,14.465,0.21K,3.53%
12/3/20,14.145,14.6,14.6,14,0.30K,-5.10%
12/2/20,14.905,14.45,14.95,14.45,0.36K,-0.03%
12/1/20,14.91,15.475,15.475,14.775,0.61K,-1.52%
11/30/20,15.14,14.985,15.2,14.95,0.06K,4.52%
11/27/20,14.485,13.835,14.6,13.8,0.77K,3.98%
